"","pref","year","prov","mayor_term","invest","state_share","soe_share","local_share","local_soe_share","nonlocal_soe_share","nonlocal_nonsoe_share","local_nonsoe_share","invest_l","mayor_term1","mayor_age","gender_fem.y","ethnicity.y","edu_onjob.y","lgdp_pc","lpopul","lfiscal","distCity","industryOptionalName","projName","first_con_mayor","projRid","cooperationTerm","returnMode","local_size","soe_size","local_soe_size","local_nonsoe_size","local_size_l","local_soe_size_l","local_nonsoe_size_l","soe_size_l","type"
"5650","辽源市",2015,"吉林省",1,2324887400,45.81,45.81,27.26,59.09,31.83,38.2,13.28,21.5669374447054,1,48,0,0,18,10.9414116757023,4.8023803552758,3.28918889118101,220400,"其他","吉林省辽源市南部新城综合管廊工程",1,"4c974c033dc94dbf83c3d01e990642c7",30,"3",63376430524,106503091794,137377596466,30874504672,24.8723578709896,25.6459991500703,24.1531965887861,25.3914398526135,"Others"
"5651","盐城市",2016,"江苏省",2,1.75e+09,NA,NA,NA,NA,NA,NA,NA,21.2828816248818,2,55,0,0,18,10.9733402195328,6.71904938561296,15.378904531897,320900,"旅游配套设施","江苏阜宁金沙湖基础配套设施建设及环境综合治理项目",0,"498f294f52764dffabaaad19cc6df49a",15,"2",NA,NA,NA,NA,NA,NA,NA,NA,"Tourism"
"5652","池州市",2016,"安徽省",2,1.28e+09,20,20,20,20,0,80,0,20.9701259148779,2,52,0,0,18,10.5457097919108,5.08518602536055,13.7723838262431,341700,"海绵城市","安徽省池州市海绵城市滨江区及天堂湖新区棚改基础设施PPP项目",1,"5e0979c3e44a414a9da9ff491ca14d2b",12,"1",2.56e+10,2.56e+10,2.56e+10,0,23.965858188471,23.965858188471,0,23.965858188471,"Environment"
"5653","孝感市",2016,"湖北省",4,249245000,10,10,10,10,0,0,0,19.3339469064245,4,46,0,0,21,10.3064161129923,6.26621334414786,14.0206652760629,420900,"污水处理","大悟县污水处理设施(PPP)项目",1,"60e490fb396f47e1a1997b218e7e9e68",25,"1",2492450000,2492450000,2492450000,0,21.6365319998197,21.6365319998197,0,21.6365319998197,"Environment"
"5654","运城市",2016,"山西省",1,371630000,NA,NA,NA,NA,NA,NA,NA,19.7334092936152,1,53,0,0,21,10.0125213135603,6.23480280570771,13.240965632964,140800,"供热","平陆县城区集中供热一期项目",0,"75640e244a2c4013be6a1536717e8ac6",29,"2",NA,NA,NA,NA,NA,NA,NA,NA,"Energy"
"5655","廊坊市",2016,"河北省",4,8340750000,NA,NA,NA,NA,NA,NA,NA,22.8444189773313,4,51,0,0,18,10.9052217662278,6.13367999890495,14.9253410202978,131000,"园区开发","河北省廊坊市固安县固安高新区综合开发PPP项目",0,"6cbac5ed6141450da6c8a621187fa8a3",30,"1",NA,NA,NA,NA,NA,NA,NA,NA,"Constrcution"
"5656","赣州市",2016,"江西省",5,117010000,NA,NA,NA,NA,NA,NA,NA,18.5777699591951,5,52,0,0,12,10.0496636626937,6.86758931922401,14.7136878271002,360700,"垃圾处理","会昌县生活垃圾综合处理PPP项目",0,"70dc7f5f4d7e4802844e58a2f1fdd9a7",25,"3",NA,NA,NA,NA,NA,NA,NA,NA,"Environment"
"5657","唐山市",2016,"河北省",2,2.7e+08,0,0,0,0,0,0,0,19.4139325169626,2,51,0,0,18,11.269553695809,6.62666476771308,15.0244103049503,130200,"医院","河北省唐山市曹妃甸区工人医院",0,"6cd909593f744103b2adc6c51a683277",20,"3",0,0,0,0,0,0,0,0,"Health"
"5658","本溪市",2016,"辽宁省",1,319150000,NA,NA,NA,NA,NA,NA,NA,19.5811717696663,1,56,0,0,16,11.1221913214621,5.01866959912458,13.1950188666438,210500,"其他","辽宁省本溪市集本线、小桥线、本宽线新建及改扩建工程",0,"6abcd750df674d549580426ab679dbde",12,"1",NA,NA,NA,NA,NA,NA,NA,NA,"Others"
"5659","西安市",2016,"陕西省",1,1175610000,NA,NA,NA,NA,NA,NA,NA,20.8850529987675,1,53,0,0,18,11.1115220968167,6.70399760146776,15.6888274332846,610100,"综合治理","西安市常宁新区潏河湿地公园及相关工程建设PPP项目",0,"6ae818e12cd74264a09927993435e33b",10,"1",NA,NA,NA,NA,NA,NA,NA,NA,"City Management"
"5660","福州市",2014,"福建省",3,2.5e+09,NA,NA,NA,NA,NA,NA,NA,21.6395565688206,3,57,0,0,16,11.176431228107,6.48539830320375,6.1180289137717,350100,"园区开发","福建省福州市高新区海西园创新园三期及基础配套设施建设项目",0,"64eb87cbe5de4b1fa1d3aa33c55959e9",10,"3",NA,NA,NA,NA,NA,NA,NA,NA,"Constrcution"
