"","distCity","year","invest","invest_n","invest_mean","cityname","cityps.x","name.x","officerID.x","gender_fem.x","birth_yr.x","ethnicity.x","home_city.x","home_prov.x","edu_first.x","college_yr.x","college_major.x","college_code.x","edu_onjob.x","edu_onjob_ps.x","firstjob_yr.x","party_yr.x","college_str_other.x","promotion.x","sec_age","ps_term","ps_begin_yr","cityps.y","name.y","officerID.y","gender_fem.y","birth_yr.y","ethnicity.y","home_city.y","home_prov.y","edu_first.y","college_yr.y","college_major.y","college_code.y","edu_onjob.y","edu_onjob_ps.y","firstjob_yr.y","party_yr.y","college_str_other.y","promotion_mayor","mayor_age","prov_id","mayor_term_id","mayor_term","mayor_begin_yr","mayor_end_yr","n_city","first_year","first_mayor","mayor_begin_age","mayor_term_rev","ting_term","ting_term_d","purge_mayor","mayor_count","vice_province","ps_term_2","sec_age_2","mayor_age_2","mayor_term_2","mayor_age_d","sec_age_d","mayor_2term","mayor_work_yr","mayor_party_yr","mayor_term1","mayor_firstyr","ps_term1","pop_eoy","pop_avg","gdp_pc","gdp","fiscal_rev_inbudget","lgdp_pc","lpop_eoy","lfiscal_rev","pref_code","invest_dummy","invest_l","provID","lpopul","lfiscal","prov_prov_ch","prov_name","prov_begin_yr","prov_end_yr","prov_ps_term","prov_home_prov","prov_college_code","prov_gov_begin_yr","local","purge_n","mayor_local","con_mayor","first_con_mayor","con_ps","purge_n_l1","purge_n_l2","fiscal_exp","employment","fiscal_rev","fixed_invest","lfiscal1","lexp","local_size","local_soe_size","local_nonsoe_size","soe_size","local_size_l","local_soe_size_l","local_nonsoe_size_l","soe_size_l","rev_exp_ratio","mayor_tenlength"
"911",360100,2016,800343740000,8,100042967500,"南昌市",1,"王文涛",2291,0,1964,0,320600,320000,3,1981,3,10246,12,NA,1985,1994,NA,0,52,6,2011,0,"郭安",2291,0,1962,0,360700,360000,2,NA,NA,NA,18,2,1981,1985,NA,0,54,"36",768,3,2014,2017,10,2013,0,52,2,4,0,0,1,0,36,2704,2916,9,0,0,0,35,31,3,0,6,520.38,519.06,75879,40000140,3893412,11.2368952452589,6.2564791424975,15.1747967088157,360100,1,22.8031369613424,"360000",6.25455931392442,15.1747964519716,"江西省","鹿心社",2016,2017,2,370000,10486,2016,NA,0,0,0,0,0,0,0,5832565,125.981,4021831,45402629,15.2072478295358,15.5789674272648,46228520500,46228520500,30990860350,15237660150,24.5568627714277,24.5568627714277,24.1569581705743,23.4470358420185,1.45022627753379,4
"912",360100,2017,192166460000,3,64055486666.6667,"南昌市",1,"殷美根",3221,0,1963,0,360100,360000,3,1981,1,10284,18,1,1985,1985,NA,0,54,1,2017,0,"郭安",3221,0,1962,0,360700,360000,2,NA,NA,NA,18,2,1981,1985,NA,0,55,"36",768,4,2014,2017,9,2013,0,52,1,5,1,0,1,0,1,2916,3025,16,0,0,0,36,32,4,0,1,523,522,81598,43549927,4021831,11.3095600308479,6.26149168432104,15.2072480781788,360100,1,21.3764576265434,"360000",6.25958146406492,15.2072478295358,"江西省","鹿心社",2016,2017,3,370000,10486,2016,NA,0,0,0,0,1,0,0,6531223,120.9457,4170774,NA,15.2436121880621,15.6921047731495,0,0,0,0,0,0,0,0,1.56594986925688,4
"913",360200,2010,0,0,0,"景德镇市",1,"许爱民",1145,0,1957,0,361000,360000,3,NA,1,10408,18,2,1979,1976,NA,1,53,7,2004,0,"李放",1145,0,1957,0,230100,230000,3,1976,2,10008,18,2,1975,1982,NA,0,53,"36",773,4,2007,2010,11,2000,0,50,1,11,1,0,1,0,49,2809,2809,16,0,0,0,35,28,4,0,6,160.22,159.23,23174,364.034,24.3328,10.050786239557,5.08276989185546,3.23209999876503,360200,0,-13.8155105579643,"360000",5.07654787078697,3.19182523443186,"江西省","苏荣",2008,2012,4,220000,NA,2008,NA,0,0,0,0,0,0,0,778735,17.44,387567,4395905,12.8676440160553,13.5654260872611,0,0,0,0,0,0,0,0,2.00929129673063,1
"914",360200,2011,0,0,0,"景德镇市",1,"许爱民",1145,0,1957,0,361000,360000,3,NA,1,10408,18,2,1979,1976,NA,1,54,8,2004,0,"刘昌林",1145,0,1962,0,500100,5e+05,3,1981,5,11943,18,2,1985,NA,NA,0,49,"36",774,1,2011,2013,11,2004,0,49,3,8,1,0,1,0,64,2916,2401,1,0,0,0,26,NA,1,1,6,163.16,161.69,29155,461.5001,38.7567,10.2803817036563,5.1008415619824,3.68277838035592,360200,0,-13.8155105579643,"360000",5.09473131444936,3.65730364407912,"江西省","苏荣",2008,2012,5,220000,NA,2008,NA,0,0,1,0,0,0,0,987450,19.25,510918,3944664,13.1439643866419,13.8028811415641,0,0,0,0,0,0,0,0,1.93269761488145,3
"915",360200,2012,0,0,0,"景德镇市",1,"邓保生",2548,0,1964,0,0,0,NA,NA,NA,NA,21,2,1984,1987,NA,0,48,1,2012,0,"刘昌林",2548,0,1962,0,500100,5e+05,3,1981,5,11943,18,2,1985,NA,NA,0,50,"36",774,2,2011,2013,11,2004,0,49,2,9,1,0,1,0,1,2304,2500,4,0,0,0,27,NA,2,0,1,164.6,163.9,35421,564.7106,51.0918,10.4750601435752,5.10957524195116,3.95300754673696,360200,0,-13.8155105579643,"360000",5.10351828824297,3.9336240146657,"江西省","苏荣",2008,2012,6,220000,NA,2008,NA,0,0,1,0,1,0,0,1207087,19.3,666396,4566908,13.4096393674158,14.0037205770181,0,0,0,0,0,0,0,0,1.81136591456131,3
"916",360200,2013,0,0,0,"景德镇市",1,"邓保生",2548,0,1964,0,0,0,NA,NA,NA,NA,21,2,1984,1987,NA,0,49,2,2012,0,"刘昌林",2548,0,1962,0,500100,5e+05,3,1981,5,11943,18,2,1985,NA,NA,1,51,"36",774,3,2011,2013,11,2004,0,49,1,10,1,0,1,0,4,2401,2601,9,0,0,0,28,NA,3,0,2,166.7,165.6,39151,628.2524,66.6396,10.5751812438769,5.12217666882916,4.21419361035234,360200,0,-13.8155105579643,"360000",5.11619578975675,4.19929899543961,"江西省","强卫",2013,2015,2,320000,NA,2013,NA,0,0,0,0,0,0,0,1353980,NA,737699,5387200,13.5112911613069,14.1185589612965,0,0,0,0,0,0,0,0,1.83540983517668,3
"917",360200,2014,0,0,0,"景德镇市",1,"刘昌林",2140,0,1962,0,500100,5e+05,3,1981,5,11943,18,2,1985,NA,NA,1,52,1,2014,0,"颜赣辉",2140,0,1962,0,361000,360000,3,1978,6,10421,18,2,1982,1985,NA,0,52,"36",776,1,2014,2016,11,2013,0,52,3,2,0,0,1,0,1,2704,2704,1,0,0,0,32,29,1,1,1,166.3,166.5,40981,680.2847,73.7699,10.6208638236426,5.11978860799278,4.31441539757613,360200,0,-13.8155105579643,"360000",5.11379338619888,4.3009507893307,"江西省","强卫",2013,2015,3,320000,NA,2013,NA,0,0,1,1,1,0,0,1495692,20.0728,821539,6225413,13.6189346894653,14.2180995339669,0,0,0,0,0,0,0,0,1.82059768312886,3
"918",360200,2015,19540400000,1,19540400000,"景德镇市",1,"刘昌林",2140,0,1962,0,500100,5e+05,3,1981,5,11943,18,2,1985,NA,NA,1,53,2,2014,0,"颜赣辉",2140,0,1962,0,361000,360000,3,1978,6,10421,18,2,1982,1985,NA,0,53,"36",776,2,2014,2016,10,2013,0,52,2,3,0,0,1,0,4,2809,2809,4,0,0,0,33,30,2,0,2,167.8,167.1,45438,738.2137,82.1539,10.7241040383419,5.12871458216186,4.42069310772603,360200,1,19.0905797681925,"360000",5.12277279403311,4.4085943174891,"江西省","强卫",2013,2015,4,320000,NA,2013,NA,1,0,1,1,1,0,0,1729617,19.5067,905885,6908760,13.7166676454013,14.3634105546809,0,0,0,0,0,0,0,0,1.90931188837435,3
"919",360200,2016,3.54071e+11,4,88517750000,"景德镇市",1,"刘昌林",2140,0,1962,0,500100,5e+05,3,1981,5,11943,18,2,1985,NA,NA,1,54,3,2014,0,"颜赣辉",2140,0,1962,0,361000,360000,3,1978,6,10421,18,2,1982,1985,NA,0,54,"36",776,3,2014,2016,10,2013,0,52,1,4,0,0,1,0,9,2916,2916,9,0,0,0,34,31,3,0,3,166.73,167.29,47216,7720557,905885,10.7624880971827,5.12235554370666,13.7166687492936,360200,1,21.9875931089534,"360000",5.11637573757237,13.7166676454013,"江西省","鹿心社",2016,2017,2,370000,10486,2016,NA,0,0,0,0,0,1,0,1738028,19.2414,887215,7836443,13.6958426219989,14.3682616951495,0,0,0,0,0,0,0,0,1.95897048629701,3
"920",360200,2017,577968660000,10,57796866000,"景德镇市",1,"钟志生",1023,0,1963,0,360500,360000,1,NA,NA,NA,18,1,1982,1985,NA,0,54,1,2017,0,"梅亦",1023,1,1970,0,360100,360000,4,1987,1,NA,18,1,1991,NA,NA,0,47,"36",778,1,2017,2017,9,2016,0,47,1,2,0,0,1,0,1,2916,2209,1,0,0,0,26,NA,1,1,1,169,165,50989,8401484,887215,10.8393652021683,5.13579843705026,13.6958437491208,360200,1,22.4776152967074,"360000",5.12989871492307,13.6958426219989,"江西省","鹿心社",2016,2017,3,370000,10486,2016,NA,0,0,1,1,1,0,1,1921282,18.9744,867036,NA,13.672835777392,14.4685032295193,0,12004705200,0,12004705200,0,23.2085645099666,0,23.2085645099666,2.21591952352613,1
"921",360300,2010,0,0,0,"萍乡市",1,"刘和平",4906,0,1954,0,360800,360000,3,1977,3,10284,18,1,1974,1984,NA,0,56,3,2008,0,"陈卫民",4906,0,1959,0,361000,360000,2,NA,NA,NA,18,1,1977,1983,NA,0,51,"36",779,3,2008,2013,11,2008,1,49,4,3,0,0,1,0,9,3136,2601,9,0,0,0,33,27,3,0,3,186.93,186.35,22685,421.486,27.3057,10.0294591920981,5.23606955306851,3.34306319779579,360300,0,-13.8155105579643,"360000",5.23073421522424,3.30709547160585,"江西省","苏荣",2008,2012,4,220000,NA,2008,NA,0,0,1,1,0,0,0,866977,14.11,411109,6677536,12.9266136651299,13.6727677271524,0,0,0,0,0,0,0,0,2.10887380232493,4
"922",360300,2011,0,0,0,"萍乡市",1,"刘和平",4906,0,1954,0,360800,360000,3,1977,3,10284,18,1,1974,1984,NA,0,57,4,2008,0,"陈卫民",4906,0,1959,0,361000,360000,2,NA,NA,NA,18,1,1977,1983,NA,0,52,"36",779,4,2008,2013,11,2008,1,49,3,4,0,0,1,0,16,3249,2704,16,0,0,0,34,28,4,0,4,188.09,187.51,28106,520.39,41.1109,10.2437383556607,5.24222309219313,3.74030661454103,360300,0,-13.8155105579643,"360000",5.23692057168271,3.71627329315373,"江西省","苏荣",2008,2012,5,220000,NA,2008,NA,0,0,1,1,0,0,0,1087143,14.17,584870,5772917,13.2791448792968,13.8990637121886,0,0,0,0,0,0,0,0,1.85877716415614,4
"923",360300,2012,0,0,0,"萍乡市",1,"刘和平",4906,0,1954,0,360800,360000,3,1977,3,10284,18,1,1974,1984,NA,0,58,5,2008,0,"陈卫民",4906,0,1959,0,361000,360000,2,NA,NA,NA,18,1,1977,1983,NA,0,53,"36",779,5,2008,2013,11,2008,1,49,2,5,1,0,1,0,25,3364,2809,25,0,1,0,35,29,5,0,5,190.3,189.2,35350,658.1538,58.487,10.4730536713247,5.25384287644621,4.08575780128478,360300,0,-13.8155105579643,"360000",5.2486017743021,4.06880450732057,"江西省","苏荣",2008,2012,6,220000,NA,2008,NA,0,0,1,1,0,0,0,1343449,14.1,740916,7634171,13.5156425375286,14.1107507457664,0,0,0,0,0,0,0,0,1.81322714045857,4
"924",360300,2013,0,0,0,"萍乡市",1,"刘和平",4906,0,1954,0,360800,360000,3,1977,3,10284,18,1,1974,1984,NA,0,59,6,2008,0,"陈卫民",4906,0,1959,0,361000,360000,2,NA,NA,NA,18,1,1977,1983,NA,1,54,"36",779,6,2008,2013,11,2008,1,49,1,6,1,0,1,0,36,3481,2916,36,0,1,1,36,30,6,0,6,192.4,191.4,39186,733.0597,74.0916,10.5760748191307,5.26476058301919,4.3187087016488,360300,0,-13.8155105579643,"360000",5.25957653823161,4.30530216555239,"江西省","强卫",2013,2015,2,320000,NA,2013,NA,0,0,0,0,0,0,0,1496007,19.7,855196,8301074,13.6590859614136,14.21831011665,0,0,0,0,0,0,0,0,1.74931477696341,4
